MatrixSize,Mejor Tiempo,Núcleos para Mejor Tiempo,Mejor Speedup,Núcleos para Mejor Speedup,Mejor Eficiencia,Núcleos para Mejor Eficiencia
100,122.09722222222229,24,17.496166533955172,24,0.9696341574121704,2
200,906.2000000000002,24,15.432796292209224,24,0.820546318986609,2
300,2833.936363636364,22,12.120479170743335,22,0.755798346200618,2
400,7304.619444444444,24,11.461600973204552,24,0.7567557062966687,2
500,13237.718666666664,25,11.653793015090518,25,0.8695848807876169,2
600,23794.63333333333,37,11.623961425475493,37,0.912007335946081,2
700,37941.234166666654,40,11.151670277111224,40,0.936715539799535,2
800,64127.754166666666,40,11.650540545334604,40,0.9580372676265864,2
900,95685.25833333336,40,9.261837007111248,40,0.9430095199964048,2
1000,119851.3905982906,39,10.238608501253122,39,0.9515004245823871,2
