TotalCores,MatrixSize,SingleCore,Time
1,100,0,2136.233333333333
1,200,0,13985.2
1,300,0,34348.666666666664
1,400,0,83722.63333333333
1,500,0,154269.63333333333
1,600,0,276587.9
1,700,0,423108.13333333336
1,800,0,747123.0
1,900,0,886221.2666666667
1,1000,0,1227111.4666666666
2,100,0,1101.7333333333333
2,100,1,1101.4
2,200,0,8522.233333333334
2,200,1,8521.533333333333
2,300,0,22727.566666666666
2,300,1,22719.3
2,400,0,55321.86666666667
2,400,1,55311.76666666667
2,500,0,88713.16666666667
2,500,1,88692.9
2,600,0,151649.9
2,600,1,151623.86666666667
2,700,0,225863.6
2,700,1,225829.7
2,800,0,389938.86666666664
2,800,1,389908.6666666667
2,900,0,469913.36666666664
2,900,1,469866.4
2,1000,0,644854.3666666667
2,1000,1,644805.0333333333
3,100,0,741.5
3,100,1,738.1666666666666
3,100,2,738.1333333333333
3,200,0,6293.7
3,200,1,6291.633333333333
3,200,2,6291.2
3,300,0,17428.6
3,300,1,17422.833333333332
3,300,2,17423.333333333332
3,400,0,38818.03333333333
3,400,1,38817.03333333333
3,400,2,38824.53333333333
3,500,0,65330.566666666666
3,500,1,65326.4
3,500,2,65331.333333333336
3,600,0,110637.1
3,600,1,110638.4
3,600,2,110627.63333333333
3,700,0,161306.96666666667
3,700,1,161299.9
3,700,2,161301.33333333334
3,800,0,267390.1666666667
3,800,1,267387.76666666666
3,800,2,267388.6666666667
3,900,0,322499.23333333334
3,900,1,322521.3
3,900,2,322512.73333333334
3,1000,0,444348.13333333336
3,1000,1,444359.2
3,1000,2,444354.36666666664
4,100,0,554.7666666666667
4,100,1,553.0
4,100,2,553.5666666666667
4,100,3,553.2
4,200,0,4911.5
4,200,1,4909.366666666667
4,200,2,4909.366666666667
4,200,3,4909.633333333333
4,300,0,14369.333333333334
4,300,1,14364.733333333334
4,300,2,14365.633333333333
4,300,3,14361.5
4,400,0,30130.833333333332
4,400,1,30131.633333333335
4,400,2,30135.866666666665
4,400,3,30131.033333333333
4,500,0,50454.566666666666
4,500,1,50448.53333333333
4,500,2,50450.2
4,500,3,50449.166666666664
4,600,0,89774.53333333334
4,600,1,89790.36666666667
4,600,2,89786.26666666666
4,600,3,89787.46666666666
4,700,0,134911.36666666667
4,700,1,134905.86666666667
4,700,2,134899.5
4,700,3,134893.16666666666
4,800,0,206450.43333333332
4,800,1,206428.66666666666
4,800,2,206433.33333333334
4,800,3,206427.86666666667
4,900,0,257753.8
4,900,1,257751.13333333333
4,900,2,257741.33333333334
4,900,3,257740.13333333333
4,1000,0,346364.6666666667
4,1000,1,346350.1
4,1000,2,346333.93333333335
4,1000,3,346331.86666666664
5,100,0,445.8333333333333
5,100,1,444.03333333333336
5,100,2,444.3
5,100,3,444.5
5,100,4,444.06666666666666
5,200,0,4087.0
5,200,1,4085.6
5,200,2,4085.0333333333333
5,200,3,4085.0666666666666
5,200,4,4085.6
5,300,0,12137.8
5,300,1,12126.566666666668
5,300,2,12128.866666666667
5,300,3,12133.766666666666
5,300,4,12131.3
5,400,0,25210.566666666666
5,400,1,25213.033333333333
5,400,2,25217.966666666667
5,400,3,25220.966666666667
5,400,4,25224.3
5,500,0,40912.2
5,500,1,40911.23333333333
5,500,2,40912.7
5,500,3,40911.566666666666
5,500,4,40915.8
5,600,0,72421.26666666666
5,600,1,72421.73333333334
5,600,2,72416.23333333334
5,600,3,72418.0
5,600,4,72418.0
5,700,0,105302.2
5,700,1,105290.76666666666
5,700,2,105293.33333333333
5,700,3,105281.53333333334
5,700,4,105276.3
5,800,0,172898.46666666667
5,800,1,172889.06666666668
5,800,2,172886.26666666666
5,800,3,172892.13333333333
5,800,4,172888.23333333334
5,900,0,208592.3
5,900,1,208584.86666666667
5,900,2,208584.66666666666
5,900,3,208576.56666666668
