MatrixSize,Mejor Tiempo,Núcleos para Mejor Tiempo,Mejor Speedup,Núcleos para Mejor Speedup,Mejor Eficiencia,Núcleos para Mejor Eficiencia
100,159.68333333333334,8,5.985179000104373,8,1.1531995334432692,3
200,1053.9125,8,6.074318313901771,8,0.9475164288674442,2
300,3855.216666666666,8,6.564014992672267,8,0.958667865468202,2
400,9567.6875,8,6.864020172063522,8,0.9870270665639986,2
500,20199.041666666668,8,6.620764598980562,8,0.9805886132737028,2
600,31905.1625,8,7.395678781869027,8,0.9711455434898028,2
700,51521.74333333333,10,7.458075144067006,10,0.97583577949934,2
800,76839.14333333334,10,7.589144994372009,10,0.9654711234525633,2
900,112635.0625,8,7.499916526140931,8,0.9800152370118704,2
1000,146873.60333333333,10,7.907123587739762,10,0.9695196701803992,2
