TotalCores,MatrixSize,SingleCore,Time
1,100,0,955.7333333333333
1,200,0,6401.8
1,300,0,25305.7
1,400,0,65672.8
1,500,0,133733.1
1,600,0,235960.33333333334
1,700,0,384253.0333333333
1,800,0,583143.4
1,900,0,844753.5666666667
1,1000,0,1161347.7333333334
2,100,0,425.6
2,100,1,420.6666666666667
2,200,0,3379.2
2,200,1,3377.2
2,300,0,13202.166666666666
2,300,1,13194.566666666668
2,400,0,33272.3
2,400,1,33263.666666666664
2,500,0,68193.83333333333
2,500,1,68186.6
2,600,0,121489.73333333334
2,600,1,121481.4
2,700,0,196886.83333333334
2,700,1,196881.3
2,800,0,302002.5333333333
2,800,1,301996.26666666666
2,900,0,430993.8
2,900,1,430986.23333333334
2,1000,0,598933.2333333333
2,1000,1,598925.6333333333
3,100,0,279.76666666666665
3,100,1,270.3
3,100,2,278.7
3,200,0,2394.9
3,200,1,2383.7
3,200,2,2394.0666666666666
3,300,0,8903.133333333333
3,300,1,8893.233333333334
3,300,2,8899.6
3,400,0,22739.366666666665
3,400,1,22730.066666666666
3,400,2,22735.4
3,500,0,46508.8
3,500,1,46495.166666666664
3,500,2,46501.26666666667
3,600,0,82093.5
3,600,1,82083.56666666667
3,600,2,82086.03333333334
3,700,0,133741.9
3,700,1,133731.06666666668
3,700,2,133738.16666666666
3,800,0,204073.16666666666
3,800,1,204068.53333333333
3,800,2,204071.23333333334
3,900,0,291933.0
3,900,1,291926.8
3,900,2,291930.23333333334
3,1000,0,406995.3333333333
3,1000,1,406991.3333333333
3,1000,2,406995.5333333333
4,100,0,229.6
4,100,1,224.83333333333334
4,100,2,226.13333333333333
4,100,3,227.4
4,200,0,1783.0666666666666
4,200,1,1778.7333333333333
4,200,2,1779.5666666666666
4,200,3,1780.9333333333334
4,300,0,6675.566666666667
4,300,1,6672.066666666667
4,300,2,6672.533333333334
4,300,3,6674.466666666666
4,400,0,17134.333333333332
4,400,1,17128.3
4,400,2,17125.7
4,400,3,17132.4
4,500,0,34701.833333333336
4,500,1,34679.53333333333
4,500,2,34690.36666666667
4,500,3,34697.933333333334
4,600,0,61902.3
4,600,1,61892.333333333336
4,600,2,61891.933333333334
4,600,3,61898.76666666667
4,700,0,100726.53333333334
4,700,1,100713.83333333333
4,700,2,100714.4
4,700,3,100722.13333333333
4,800,0,153500.4
4,800,1,153493.53333333333
4,800,2,153494.7
4,800,3,153498.7
4,900,0,219877.2
4,900,1,219868.3
4,900,2,219859.96666666667
4,900,3,219876.03333333333
4,1000,0,305977.4
4,1000,1,305971.86666666664
4,1000,2,305975.23333333334
4,1000,3,305975.43333333335
5,100,0,219.33333333333334
5,100,1,206.33333333333334
5,100,2,203.16666666666666
5,100,3,211.6
5,100,4,212.93333333333334
5,200,0,1503.7333333333333
5,200,1,1492.0666666666666
5,200,2,1452.7333333333333
5,200,3,1498.1
5,200,4,1499.4
5,300,0,5456.933333333333
5,300,1,5451.633333333333
5,300,2,5401.566666666667
5,300,3,5456.2
5,300,4,5458.6
5,400,0,13778.5
5,400,1,13770.466666666667
5,400,2,13720.3
5,400,3,13772.666666666666
5,400,4,13773.0
5,500,0,27926.666666666668
5,500,1,27921.1
5,500,2,27926.933333333334
5,500,3,27926.3
5,500,4,27927.333333333332
5,600,0,49718.4
5,600,1,49708.63333333333
5,600,2,49713.8
5,600,3,49715.63333333333
5,600,4,49720.0
5,700,0,80730.36666666667
5,700,1,80718.83333333333
5,700,2,80722.33333333333
5,700,3,80730.96666666666
5,700,4,80733.33333333333
5,800,0,123100.63333333333
5,800,1,123089.6
5,800,2,123092.46666666666
5,800,3,123098.06666666667
5,800,4,123103.93333333333
5,900,0,176563.4
5,900,1,176538.53333333333
5,900,2,176551.26666666666
5,900,3,176561.63333333333
5,900,4,176564.1
5,1000,0,244372.66666666666
5,1000,1,244356.0
5,1000,2,244358.13333333333
5,1000,3,244361.16666666666
5,1000,4,244363.96666666667
6,100,0,176.7
6,100,1,166.13333333333333
6,100,2,169.86666666666667
6,100,3,172.43333333333334
6,100,4,175.2
6,100,5,163.66666666666666
6,200,0,1254.7666666666667
