MatrixSize,Mejor Tiempo,Núcleos para Mejor Tiempo,Mejor Speedup,Núcleos para Mejor Speedup,Mejor Eficiencia,Núcleos para Mejor Eficiencia
100,60.37450980392156,17,11.152609528758406,17,0.9945839487936976,2
200,483.5372549019608,17,13.009338859061492,17,1.003717768700536,2
300,1696.1196078431371,17,12.8407807440513,17,0.9986107162835056,2
400,5492.282352941176,17,9.858997866525009,17,0.9849007733927668,2
500,11241.245098039217,17,9.2373871779956,17,0.993713039103946,2
600,20175.745098039213,17,9.081290386534793,17,0.9912387874494814,2
700,36776.92745098039,17,7.88591163268232,17,0.9525339522560936,2
800,87906.05238095239,7,5.3062713434705255,7,0.959813373598083,2
900,110509.16666666669,7,6.183325968433991,7,1.0150792009251046,3
1000,200281.8476190476,7,6.196230535881957,7,1.0241413837512867,2
