TotalCores,MatrixSize,SingleCore,Time
1,100,0,673.3333333333334
1,200,0,6290.5
1,300,0,21779.5
1,400,0,54148.4
1,500,0,103839.73333333334
1,600,0,183221.8
1,700,0,290019.6
1,800,0,466453.36666666664
1,900,0,683314.2
1,1000,0,1240992.5
2,100,0,338.73333333333335
2,100,1,338.26666666666665
2,200,0,3133.9333333333334
2,200,1,3133.266666666667
2,300,0,10904.866666666667
2,300,1,10904.933333333332
2,400,0,27489.233333333334
2,400,1,27489.3
2,500,0,52248.433333333334
2,500,1,52248.26666666667
2,600,0,92420.76666666666
2,600,1,92420.46666666666
2,700,0,152235.96666666667
2,700,1,152235.7
2,800,0,242991.76666666666
2,800,1,242991.63333333333
2,900,0,348388.7
2,900,1,348388.3
2,1000,0,605870.1
2,1000,1,605869.3333333334
3,100,0,235.66666666666666
3,100,1,235.1
3,100,2,235.03333333333333
3,200,0,2125.3333333333335
3,200,1,2125.3333333333335
3,200,2,2125.133333333333
3,300,0,7412.0
3,300,1,7412.3
3,300,2,7412.033333333334
3,400,0,18607.5
3,400,1,18607.2
3,400,2,18607.166666666668
3,500,0,35373.9
3,500,1,35373.9
3,500,2,35373.566666666666
3,600,0,63276.86666666667
3,600,1,63277.2
3,600,2,63277.36666666667
3,700,0,102395.46666666666
3,700,1,102394.86666666667
3,700,2,102395.0
3,800,0,167344.33333333334
3,800,1,167343.13333333333
3,800,2,167343.16666666666
3,900,0,224387.8
3,900,1,224387.93333333332
3,900,2,224387.7
3,1000,0,408651.7
3,1000,1,408650.73333333334
3,1000,2,408650.93333333335
4,100,0,176.4
4,100,1,176.3
4,100,2,176.2
4,100,3,176.23333333333332
4,200,0,1592.6
4,200,1,1592.6
4,200,2,1592.5666666666666
4,200,3,1592.6
4,300,0,5646.5
4,300,1,5646.533333333334
4,300,2,5646.6
4,300,3,5646.533333333334
4,400,0,14681.533333333333
4,400,1,14681.966666666667
4,400,2,14681.9
4,400,3,14681.833333333334
4,500,0,27820.366666666665
4,500,1,27820.4
4,500,2,27820.4
4,500,3,27820.433333333334
4,600,0,50549.7
4,600,1,50549.7
4,600,2,50549.5
4,600,3,50549.53333333333
4,700,0,79152.13333333333
4,700,1,79152.2
4,700,2,79152.06666666667
4,700,3,79152.0
4,800,0,127259.93333333333
4,800,1,127260.0
4,800,2,127259.93333333333
4,800,3,127259.86666666667
4,900,0,173359.26666666666
4,900,1,173357.9
4,900,2,173359.23333333334
4,900,3,173359.36666666667
4,1000,0,314016.26666666666
4,1000,1,314016.36666666664
4,1000,2,314016.6
4,1000,3,314016.3
5,100,0,142.33333333333334
5,100,1,142.26666666666668
5,100,2,142.1
5,100,3,142.2
5,100,4,142.03333333333333
5,200,0,1291.1
5,200,1,1291.2666666666667
5,200,2,1291.1666666666667
5,200,3,1291.2666666666667
5,200,4,1291.2666666666667
5,300,0,4488.366666666667
5,300,1,4488.266666666666
5,300,2,4488.4
5,300,3,4488.2
5,300,4,4487.966666666666
5,400,0,12207.266666666666
5,400,1,12207.2
5,400,2,12207.2
5,400,3,12207.166666666666
5,400,4,12207.2
5,500,0,23633.933333333334
5,500,1,23633.866666666665
5,500,2,23633.833333333332
5,500,3,23633.8
5,500,4,23633.733333333334
5,600,0,41976.6
5,600,1,41976.73333333333
5,600,2,41976.53333333333
5,600,3,41976.3
5,600,4,41976.3
5,700,0,65713.43333333333
5,700,1,65713.3
5,700,2,65713.43333333333
5,700,3,65713.23333333334
5,700,4,65713.2
5,800,0,107554.5
5,800,1,107555.73333333334
5,800,2,107556.03333333334
5,800,3,107555.73333333334
5,800,4,107555.9
5,900,0,144512.86666666667
5,900,1,144512.93333333332
5,900,2,144512.9
5,900,3,144513.03333333333
