MatrixSize,Mejor Tiempo,Núcleos para Mejor Tiempo,Mejor Speedup,Núcleos para Mejor Speedup,Mejor Eficiencia,Núcleos para Mejor Eficiencia
100,88.30694444444445,24,12.100973561284029,24,0.9432707585476372,3
200,473.3444444444445,24,12.17865777798643,24,0.7558345862032796,2
300,1268.7986666666668,25,13.106071990407724,25,0.7725348273961062,2
400,2794.3138888888884,24,10.84558423703692,24,0.7492117931890362,2
500,5646.245333333333,25,9.62470871498322,25,0.8111070093443995,2
600,9508.977777777776,24,11.820804432769968,24,0.9443565246492036,2
700,15306.465277777776,24,9.92646770995009,24,0.9046124742846232,2
800,21773.645679012345,27,9.540077473883509,27,0.8169246653602866,2
900,28656.167777777773,30,10.158640271004682,30,0.8925760547587518,2
1000,35374.145,40,11.069227727388654,40,0.9272068665630764,2
