TotalCores,MatrixSize,SingleCore,Time
1,100,0,1068.6
1,200,0,5764.7
1,300,0,16628.966666666667
1,400,0,30305.966666666667
1,500,0,54343.46666666667
1,600,0,112403.76666666666
1,700,0,151939.13333333333
1,800,0,207722.26666666666
1,900,0,291107.7
1,1000,0,391564.4666666667
2,100,0,569.2666666666667
2,100,1,568.3
2,200,0,3814.0333333333333
2,200,1,3812.9
2,300,0,10766.6
2,300,1,10758.6
2,400,0,20234.966666666667
2,400,1,20215.5
2,500,0,33507.9
2,500,1,33491.23333333333
2,600,0,59522.0
2,600,1,59504.833333333336
2,700,0,83990.33333333333
2,700,1,83970.13333333333
2,800,0,127147.53333333334
2,800,1,127125.93333333333
2,900,0,163087.43333333332
2,900,1,163055.86666666667
2,1000,0,211171.4
2,1000,1,211134.0
3,100,0,378.3
3,100,1,377.43333333333334
3,100,2,377.1333333333333
3,200,0,2697.0666666666666
3,200,1,2696.5333333333333
3,200,2,2695.1
3,300,0,7384.133333333333
3,300,1,7382.1
3,300,2,7382.966666666666
3,400,0,15556.3
3,400,1,15550.4
3,400,2,15549.433333333332
3,500,0,25849.133333333335
3,500,1,25836.5
3,500,2,25839.133333333335
3,600,0,41467.03333333333
3,600,1,41460.4
3,600,2,41459.4
3,700,0,64033.03333333333
3,700,1,64016.833333333336
3,700,2,64015.46666666667
3,800,0,91481.53333333334
3,800,1,91472.93333333333
3,800,2,91484.0
3,900,0,123051.53333333334
3,900,1,123053.0
3,900,2,123035.43333333333
3,1000,0,157403.96666666667
3,1000,1,157400.93333333332
3,1000,2,157398.63333333333
4,100,0,291.43333333333334
4,100,1,289.5
4,100,2,290.1333333333333
4,100,3,289.96666666666664
4,200,0,2042.4666666666667
4,200,1,2041.1
4,200,2,2041.1666666666667
4,200,3,2041.0333333333333
4,300,0,5883.266666666666
4,300,1,5881.4
4,300,2,5881.466666666666
4,300,3,5883.533333333334
4,400,0,12870.2
4,400,1,12861.366666666667
4,400,2,12860.7
4,400,3,12860.666666666666
4,500,0,20468.533333333333
4,500,1,20455.4
4,500,2,20454.5
4,500,3,20454.733333333334
4,600,0,31523.066666666666
4,600,1,31508.133333333335
4,600,2,31507.833333333332
4,600,3,31507.733333333334
4,700,0,49905.9
4,700,1,49889.86666666667
4,700,2,49893.9
4,700,3,49897.833333333336
4,800,0,71048.5
4,800,1,71022.36666666667
4,800,2,71034.93333333333
4,800,3,71028.1
4,900,0,96707.03333333334
4,900,1,96705.06666666667
4,900,2,96692.86666666667
4,900,3,96677.8
4,1000,0,130689.13333333333
4,1000,1,130684.76666666666
4,1000,2,130686.36666666667
4,1000,3,130665.63333333333
5,100,0,241.5
5,100,1,239.33333333333334
5,100,2,239.83333333333334
5,100,3,240.36666666666667
5,100,4,239.86666666666667
5,200,0,1659.5
5,200,1,1658.0333333333333
5,200,2,1658.1333333333334
5,200,3,1657.9666666666667
5,200,4,1658.3666666666666
5,300,0,4919.433333333333
5,300,1,4917.6
5,300,2,4918.333333333333
5,300,3,4918.233333333334
5,300,4,4919.5
5,400,0,10973.166666666666
5,400,1,10964.6
5,400,2,10969.5
5,400,3,10971.4
5,400,4,10967.833333333334
5,500,0,17114.466666666667
5,500,1,17107.0
5,500,2,17106.466666666667
5,500,3,17107.1
5,500,4,17107.033333333333
5,600,0,26009.866666666665
5,600,1,26000.8
5,600,2,26003.7
5,600,3,25997.066666666666
5,600,4,25998.566666666666
5,700,0,40573.13333333333
5,700,1,40550.13333333333
5,700,2,40552.13333333333
5,700,3,40552.03333333333
5,700,4,40555.166666666664
5,800,0,58050.433333333334
5,800,1,58040.0
5,800,2,58032.13333333333
5,800,3,58029.933333333334
5,800,4,58047.13333333333
5,900,0,80356.13333333333
5,900,1,80341.13333333333
5,900,2,80336.16666666667
5,900,3,80337.63333333333
5,900,4,80330.5
5,1000,0,107910.16666666667
5,1000,1,107914.76666666666
5,1000,2,107908.76666666666
5,1000,3,107908.5
5,1000,4,107882.3
6,100,0,213.76666666666668
6,100,1,212.0
6,100,2,212.43333333333334
6,100,3,212.33333333333334
6,100,4,211.53333333333333
6,100,5,211.5
6,200,0,1437.9333333333334
6,200,1,1437.0333333333333
6,200,2,1435.7666666666667
6,200,3,1435.6
6,200,4,1435.9666666666667
6,200,5,1436.0
6,300,0,4677.666666666667
6,300,1,4672.666666666667
6,300,2,4671.866666666667
6,300,3,4673.166666666667
6,300,4,4670.166666666667
6,300,5,4671.8
6,400,0,9656.366666666667
6,400,1,9656.866666666667
6,400,2,9661.266666666666
6,400,3,9671.5
6,400,4,9661.3
6,400,5,9665.233333333334
6,500,0,16163.8
6,500,1,16152.466666666667
6,500,2,16155.4
6,500,3,16155.8
6,500,4,16167.366666666667
6,500,5,16161.133333333333
6,600,0,23409.333333333332
6,600,1,23403.733333333334
6,600,2,23397.766666666666
6,600,3,23403.833333333332
6,600,4,23406.166666666668
6,600,5,23397.833333333332
6,700,0,35429.23333333333
6,700,1,35406.0
6,700,2,35401.73333333333
6,700,3,35400.03333333333
6,700,4,35404.9
6,700,5,35405.666666666664
6,800,0,48033.333333333336
6,800,1,48009.53333333333
6,800,2,48011.73333333333
6,800,3,48014.53333333333
6,800,4,48013.8
6,800,5,48013.03333333333
6,900,0,68877.23333333334
6,900,1,68862.46666666666
6,900,2,68873.7
6,900,3,68858.33333333333
6,900,4,68859.1
6,900,5,68850.5
6,1000,0,90701.53333333334
6,1000,1,90704.7
6,1000,2,90697.03333333334
6,1000,3,90696.03333333334
6,1000,4,90695.1
6,1000,5,90688.13333333333
7,100,0,187.43333333333334
7,100,1,187.0
7,100,2,185.03333333333333
7,100,3,185.16666666666666
7,100,4,185.3
7,100,5,185.3
7,100,6,185.13333333333333
7,200,0,1345.9666666666667
7,200,1,1345.2
7,200,2,1345.0666666666666
7,200,3,1344.8666666666666
7,200,4,1344.1333333333334
7,200,5,1344.2666666666667
7,200,6,1344.2333333333333
7,300,0,4083.0666666666666
7,300,1,4084.1666666666665
7,300,2,4084.8
7,300,3,4084.366666666667
7,300,4,4082.5
7,300,5,4084.0
7,300,6,4086.4666666666667
7,400,0,8686.8
7,400,1,8681.3
7,400,2,8688.466666666667
7,400,3,8695.3
7,400,4,8684.866666666667
7,400,5,8684.033333333333
7,400,6,8693.766666666666
7,500,0,14955.533333333333
7,500,1,14951.7
7,500,2,14953.466666666667
7,500,3,14957.633333333333
7,500,4,14957.733333333334
7,500,5,14954.733333333334
7,500,6,14955.1
7,600,0,21909.266666666666
7,600,1,21901.766666666666
7,600,2,21895.766666666666
7,600,3,21902.133333333335
7,600,4,21903.733333333334
7,600,5,21900.3
7,600,6,21898.866666666665
7,700,0,33530.23333333333
7,700,1,33510.63333333333
7,700,2,33510.63333333333
7,700,3,33511.76666666667
7,700,4,33515.0
7,700,5,33517.166666666664
7,700,6,33511.1
7,800,0,46155.566666666666
7,800,1,46137.03333333333
7,800,2,46143.1
7,800,3,46150.833333333336
