MatrixSize,Mejor Tiempo,Núcleos para Mejor Tiempo,Mejor Speedup,Núcleos para Mejor Speedup,Mejor Eficiencia,Núcleos para Mejor Eficiencia
100,70.45,6,3.521173409037142,6,1.0674125071715432,2
200,332.7142857142857,7,5.303148704737369,7,0.9117576133388452,4
300,1074.772222222222,6,5.475795905075495,6,0.9126326508459158,6
400,2214.004761904762,7,6.187053841240071,7,0.9429647935640348,4
500,4154.558333333333,8,6.43616750276303,8,0.9594859189885834,2
600,7031.057142857143,7,6.49419175603208,7,0.9540634885700238,5
700,11021.820833333337,8,6.59315743731091,8,0.9607334872816372,5
800,16047.861904761903,7,6.527156117221965,7,0.968349667623592,2
900,22336.362500000003,8,6.975522536402244,8,0.9691428263384656,5
1000,32402.091666666667,8,6.669497416704837,8,0.9778308350257272,5
