TotalCores,MatrixSize,SingleCore,Time
1,100,0,248.06666666666666
1,200,0,1764.4333333333334
1,300,0,5885.233333333334
1,400,0,13698.166666666666
1,500,0,26739.433333333334
1,600,0,45661.03333333333
1,700,0,72668.6
1,800,0,104746.9
1,900,0,155807.8
1,1000,0,216105.66666666666
2,100,0,118.7
2,100,1,113.7
2,200,0,1004.2
2,200,1,999.6666666666666
2,300,0,3259.133333333333
2,300,1,3250.5
2,400,0,7308.0
2,400,1,7299.7
2,500,0,13939.7
2,500,1,13928.8
2,600,0,24082.2
2,600,1,24072.466666666667
2,700,0,37840.333333333336
2,700,1,37831.63333333333
2,800,0,54089.0
2,800,1,54081.53333333333
2,900,0,80568.86666666667
2,900,1,80562.73333333334
2,1000,0,111663.06666666667
2,1000,1,111653.96666666666
3,100,0,87.66666666666667
3,100,1,77.66666666666667
3,100,2,80.43333333333334
3,200,0,669.5
3,200,1,656.8666666666667
3,200,2,661.9666666666667
3,300,0,2162.8333333333335
3,300,1,2152.766666666667
3,300,2,2157.266666666667
3,400,0,4965.666666666667
3,400,1,4959.133333333333
3,400,2,4962.9
3,500,0,9342.333333333334
3,500,1,9333.8
3,500,2,9339.1
3,600,0,16199.966666666667
3,600,1,16189.633333333333
3,600,2,16192.866666666667
3,700,0,25407.133333333335
3,700,1,25396.1
3,700,2,25402.1
3,800,0,36939.666666666664
3,800,1,36928.76666666667
3,800,2,36934.0
3,900,0,54261.666666666664
3,900,1,54254.0
3,900,2,54256.96666666667
3,1000,0,74807.5
3,1000,1,74796.9
3,1000,2,74804.83333333333
4,100,0,84.73333333333333
4,100,1,71.13333333333334
4,100,2,72.43333333333334
4,100,3,74.7
4,200,0,491.4
4,200,1,473.3666666666667
4,200,2,483.7
4,200,3,486.73333333333335
4,300,0,1625.6333333333334
4,300,1,1618.4
4,300,2,1617.7333333333333
4,300,3,1621.2
4,400,0,3646.0666666666666
4,400,1,3609.9666666666667
4,400,2,3631.7
4,400,3,3638.9666666666667
4,500,0,7139.533333333334
4,500,1,7120.766666666666
4,500,2,7125.266666666666
4,500,3,7133.466666666666
4,600,0,11990.766666666666
4,600,1,11978.533333333333
4,600,2,11977.866666666667
4,600,3,11986.533333333333
4,700,0,19005.0
4,700,1,18978.2
4,700,2,18997.133333333335
4,700,3,19003.9
4,800,0,27169.566666666666
4,800,1,27157.733333333334
4,800,2,27158.366666666665
4,800,3,27164.166666666668
4,900,0,40769.03333333333
4,900,1,40617.1
4,900,2,40759.833333333336
4,900,3,40765.5
4,1000,0,55270.6
4,1000,1,55261.066666666666
4,1000,2,55262.666666666664
4,1000,3,55267.333333333336
5,100,0,96.66666666666667
5,100,1,82.96666666666667
5,100,2,90.1
5,100,3,90.73333333333333
5,100,4,93.26666666666667
5,200,0,434.2
5,200,1,424.1666666666667
5,200,2,416.1666666666667
5,200,3,427.7
5,200,4,428.3333333333333
5,300,0,1371.0
5,300,1,1325.2666666666667
5,300,2,1369.6
5,300,3,1369.7666666666667
5,300,4,1369.9333333333334
5,400,0,2940.3
5,400,1,2925.8
5,400,2,2894.6
5,400,3,2934.6
5,400,4,2940.0333333333333
5,500,0,5613.4
5,500,1,5602.133333333333
5,500,2,5604.766666666666
5,500,3,5609.3
5,500,4,5613.1
5,600,0,9579.566666666668
5,600,1,9567.666666666666
5,600,2,9571.566666666668
5,600,3,9563.766666666666
5,600,4,9576.966666666667
5,700,0,15132.766666666666
5,700,1,15120.033333333333
5,700,2,15127.233333333334
5,700,3,15127.633333333333
5,700,4,15131.0
5,800,0,21710.533333333333
5,800,1,21692.566666666666
5,800,2,21692.8
5,800,3,21696.566666666666
5,800,4,21699.9
5,900,0,32162.1
5,900,1,32142.133333333335
5,900,2,32144.733333333334
5,900,3,32157.733333333334
5,900,4,32161.966666666667
5,1000,0,44205.13333333333
5,1000,1,44192.066666666666
5,1000,2,44199.36666666667
5,1000,3,44202.03333333333
5,1000,4,44206.566666666666
6,100,0,77.96666666666667
6,100,1,67.53333333333333
6,100,2,72.76666666666667
6,100,3,71.63333333333334
6,100,4,71.56666666666666
6,100,5,61.233333333333334
6,200,0,348.76666666666665
6,200,1,342.93333333333334
6,200,2,343.1
6,200,3,345.76666666666665
6,200,4,346.96666666666664
6,200,5,338.53333333333336
6,300,0,1082.5
6,300,1,1071.4333333333334
6,300,2,1072.2333333333333
6,300,3,1073.1
6,300,4,1080.9333333333334
6,300,5,1068.4333333333334
6,400,0,2562.8
6,400,1,2498.4666666666667
6,400,2,2480.5
6,400,3,2550.6666666666665
6,400,4,2562.0666666666666
6,400,5,2548.633333333333
6,500,0,4881.833333333333
6,500,1,4871.533333333334
6,500,2,4877.066666666667
6,500,3,4880.4
6,500,4,4882.8
6,500,5,4869.433333333333
6,600,0,8124.433333333333
6,600,1,8106.233333333334
6,600,2,8111.233333333334
6,600,3,8115.566666666667
6,600,4,8117.8
6,600,5,8098.1
6,700,0,12925.433333333332
6,700,1,12914.766666666666
6,700,2,12901.166666666666
6,700,3,12917.4
6,700,4,12919.433333333332
6,700,5,12899.066666666668
6,800,0,18429.466666666667
6,800,1,18413.366666666665
6,800,2,18422.266666666666
6,800,3,18412.3
6,800,4,18428.966666666667
6,800,5,18360.666666666668
6,900,0,27328.6
6,900,1,27266.766666666666
6,900,2,27315.466666666667
6,900,3,27315.9
6,900,4,27320.7
6,900,5,27290.833333333332
6,1000,0,37808.166666666664
6,1000,1,37792.3
6,1000,2,37797.1
6,1000,3,37793.9
6,1000,4,37800.2
6,1000,5,37768.2
7,100,0,85.1
7,100,1,74.66666666666667
7,100,2,78.4
7,100,3,79.66666666666667
7,100,4,81.33333333333333
7,100,5,67.33333333333333
7,100,6,73.3
7,200,0,340.26666666666665
7,200,1,330.73333333333335
7,200,2,335.7
7,200,3,337.93333333333334
7,200,4,340.06666666666666
7,200,5,321.4
7,200,6,322.9
7,300,0,1124.7
7,300,1,1095.0333333333333
7,300,2,1115.6
7,300,3,1106.4
7,300,4,1118.4333333333334
7,300,5,1062.8666666666666
7,300,6,1108.6
7,400,0,2238.766666666667
7,400,1,2180.766666666667
7,400,2,2196.9666666666667
7,400,3,2230.866666666667
7,400,4,2228.9
7,400,5,2206.366666666667
7,400,6,2215.4
7,500,0,4446.8
7,500,1,4434.3
7,500,2,4440.533333333334
7,500,3,4439.633333333333
7,500,4,4444.766666666666
7,500,5,4370.133333333333
7,500,6,4429.933333333333
7,600,0,7045.2
7,600,1,7032.133333333333
7,600,2,7039.166666666667
7,600,3,7041.666666666667
7,600,4,7037.2
7,600,5,7014.133333333333
7,600,6,7007.9
7,700,0,11785.433333333332
7,700,1,11775.8
7,700,2,11778.166666666666
7,700,3,11774.433333333332
7,700,4,11773.466666666667
7,700,5,11754.666666666666
7,700,6,11755.833333333334
7,800,0,16062.466666666667
7,800,1,16046.933333333332
7,800,2,16052.566666666668
7,800,3,16056.166666666666
7,800,4,16054.0
7,800,5,16027.066666666668
7,800,6,16035.833333333334
7,900,0,24655.466666666667
7,900,1,24638.333333333332
7,900,2,24642.233333333334
7,900,3,24555.533333333333
7,900,4,24653.2
7,900,5,24446.033333333333
7,900,6,24627.666666666668
7,1000,0,33590.566666666666
7,1000,1,33545.1
7,1000,2,33582.166666666664
7,1000,3,33584.53333333333
7,1000,4,33587.1
7,1000,5,33549.03333333333
7,1000,6,33545.3
8,100,0,87.63333333333334
8,100,1,75.63333333333334
8,100,2,78.06666666666666
8,100,3,83.06666666666666
8,100,4,83.93333333333334
8,100,5,67.43333333333334
8,100,6,72.53333333333333
8,100,7,71.66666666666667
8,200,0,419.6
8,200,1,397.76666666666665
8,200,2,411.9
8,200,3,409.5
8,200,4,417.8333333333333
8,200,5,336.96666666666664
8,200,6,377.9
8,200,7,397.26666666666665
8,300,0,1254.0333333333333
8,300,1,1220.7333333333333
8,300,2,1232.0
8,300,3,1229.1666666666667
8,300,4,1248.7
8,300,5,1163.7666666666667
8,300,6,1185.4666666666667
8,300,7,1232.3
8,400,0,2758.866666666667
8,400,1,2754.366666666667
8,400,2,2678.8333333333335
8,400,3,2752.233333333333
8,400,4,2754.5333333333333
8,400,5,2564.733333333333
8,400,6,2703.9666666666667
8,400,7,2746.766666666667
8,500,0,4178.0
8,500,1,4135.466666666666
8,500,2,4171.7
8,500,3,4177.533333333334
8,500,4,4177.266666666666
8,500,5,4069.633333333333
8,500,6,4158.166666666667
8,500,7,4168.7
8,600,0,8240.233333333334
8,600,1,8188.166666666667
8,600,2,8202.833333333334
8,600,3,8230.333333333334
8,600,4,8234.033333333333
8,600,5,7738.533333333334
8,600,6,8171.8
8,600,7,8195.8
8,700,0,11049.866666666667
8,700,1,10989.033333333333
8,700,2,11037.833333333334
8,700,3,11041.833333333334
8,700,4,11046.066666666668
8,700,5,10952.4
8,700,6,11029.866666666667
8,700,7,11027.666666666666
8,800,0,17177.733333333334
8,800,1,17156.4
8,800,2,17050.033333333333
8,800,3,17170.2
8,800,4,17173.3
8,800,5,16502.5
8,800,6,17010.1
8,800,7,17063.866666666665
8,900,0,22362.066666666666
8,900,1,22326.966666666667
8,900,2,22350.8
8,900,3,22355.833333333332
8,900,4,22361.1
8,900,5,22280.2
8,900,6,22331.233333333334
8,900,7,22322.7
8,1000,0,32443.1
8,1000,1,32370.8
8,1000,2,32432.2
8,1000,3,32435.033333333333
8,1000,4,32437.033333333333
8,1000,5,32262.1
8,1000,6,32415.1
8,1000,7,32421.366666666665
9,100,0,85.8
9,100,1,73.6
9,100,2,73.16666666666667
9,100,3,74.9
9,100,4,77.56666666666666
9,100,5,64.8
9,100,6,66.16666666666667
9,100,7,70.23333333333333
9,100,8,82.5
9,200,0,406.53333333333336
9,200,1,389.26666666666665
9,200,2,401.2
9,200,3,399.8
9,200,4,404.46666666666664
