MatrixSize,Mejor Tiempo,Núcleos para Mejor Tiempo,Mejor Speedup,Núcleos para Mejor Speedup,Mejor Eficiencia,Núcleos para Mejor Eficiencia
100,60.88958333333333,16,8.770520409210661,16,0.9419131048268564,4
200,421.4098039215687,17,13.458949650798672,17,0.99331570313549,2
300,1425.7156862745098,17,14.336986583965398,17,0.9932810895390388,2
400,3979.6875,16,12.6619824630284,16,0.9935453680901558,2
500,8310.6375,16,12.035117642900438,16,0.9944675300055216,2
600,14055.092156862747,17,12.592669714151466,17,0.9980464752063252,2
700,20646.760784313727,17,13.823217581108484,17,0.9859282405211034,2
800,34362.05625,16,12.809683549326785,16,0.9922345040612824,2
900,46374.17843137256,17,13.866346641266006,17,0.9860084033914104,3
1000,70104.41176470589,17,13.05695714375616,17,0.998870126410746,2
