TotalCores,MatrixSize,SingleCore,Time
1,100,0,534.0333333333333
1,200,0,5671.733333333334
1,300,0,20440.466666666667
1,400,0,50390.73333333333
1,500,0,100019.5
1,600,0,176991.13333333333
1,700,0,285404.6666666667
1,800,0,440167.06666666665
1,900,0,643040.4333333333
1,1000,0,915350.3
2,100,0,284.4
2,100,1,284.03333333333336
2,200,0,2854.9
2,200,1,2855.0
2,300,0,10289.2
2,300,1,10289.533333333333
2,400,0,25359.066666666666
2,400,1,25359.033333333333
2,500,0,50288.166666666664
2,500,1,50287.76666666667
2,600,0,88668.76666666666
2,600,1,88668.8
2,700,0,144738.96666666667
2,700,1,144739.16666666666
2,800,0,221805.7
2,800,1,221806.23333333334
2,900,0,329127.26666666666
2,900,1,329127.2
2,1000,0,458193.0333333333
2,1000,1,458192.6666666667
3,100,0,196.3
3,100,1,196.0
3,100,2,196.0
3,200,0,1924.2666666666667
3,200,1,1924.6
3,200,2,1924.2333333333333
3,300,0,6910.133333333333
3,300,1,6910.033333333334
3,300,2,6910.166666666667
3,400,0,16970.833333333332
3,400,1,16969.6
3,400,2,16969.933333333334
3,500,0,33913.86666666667
3,500,1,33913.666666666664
3,500,2,33913.36666666667
3,600,0,59587.13333333333
3,600,1,59587.3
3,600,2,59587.333333333336
3,700,0,98745.0
3,700,1,98744.36666666667
3,700,2,98744.33333333333
3,800,0,152170.0
3,800,1,152169.56666666668
3,800,2,152169.3
3,900,0,217388.36666666667
3,900,1,217388.43333333332
3,900,2,217388.46666666667
3,1000,0,310783.93333333335
3,1000,1,310782.9666666667
3,1000,2,310783.0
4,100,0,141.83333333333334
4,100,1,141.83333333333334
4,100,2,141.73333333333332
4,100,3,141.56666666666666
4,200,0,1446.2333333333333
4,200,1,1446.3333333333333
4,200,2,1446.2666666666667
4,200,3,1446.1666666666667
4,300,0,5277.233333333334
4,300,1,5277.266666666666
4,300,2,5277.466666666666
4,300,3,5277.366666666667
4,400,0,12863.1
4,400,1,12862.933333333332
4,400,2,12863.133333333333
4,400,3,12863.0
4,500,0,25749.566666666666
4,500,1,25749.166666666668
4,500,2,25749.4
4,500,3,25749.133333333335
4,600,0,45100.3
4,600,1,45100.53333333333
4,600,2,45100.63333333333
4,600,3,45100.26666666667
4,700,0,75328.8
4,700,1,75329.0
4,700,2,75329.13333333333
4,700,3,75328.83333333333
4,800,0,114827.0
4,800,1,114826.63333333333
4,800,2,114826.83333333333
4,800,3,114827.06666666667
4,900,0,167865.86666666667
4,900,1,167865.63333333333
4,900,2,167865.46666666667
4,900,3,167865.63333333333
4,1000,0,238145.9
4,1000,1,238145.6
4,1000,2,238146.06666666668
4,1000,3,238146.03333333333
5,100,0,120.16666666666667
5,100,1,118.66666666666667
5,100,2,118.76666666666667
5,100,3,118.66666666666667
5,100,4,118.43333333333334
5,200,0,1164.4
5,200,1,1164.3666666666666
5,200,2,1164.4
5,200,3,1164.4666666666667
5,200,4,1164.3333333333333
5,300,0,4231.133333333333
5,300,1,4231.433333333333
5,300,2,4231.333333333333
5,300,3,4231.133333333333
5,300,4,4231.166666666667
5,400,0,10593.6
5,400,1,10593.666666666666
5,400,2,10593.766666666666
5,400,3,10593.9
5,400,4,10593.533333333333
5,500,0,21766.633333333335
5,500,1,21766.833333333332
5,500,2,21766.833333333332
5,500,3,21766.6
5,500,4,21766.5
5,600,0,38096.3
5,600,1,38096.166666666664
5,600,2,38096.4
5,600,3,38096.566666666666
5,600,4,38096.3
5,700,0,61645.46666666667
5,700,1,61645.36666666667
5,700,2,61645.4
5,700,3,61645.26666666667
5,700,4,61645.3
5,800,0,94875.23333333334
5,800,1,94875.36666666667
5,800,2,94875.33333333333
5,800,3,94875.3
5,800,4,94875.16666666667
5,900,0,137074.7
5,900,1,137074.76666666666
5,900,2,137074.76666666666
