TotalCores,MatrixSize,Time,Speedup,Eficiencia
1,100,534.0333333333333,1.0,1.0
1,200,5671.733333333334,1.0,1.0
1,300,20440.466666666667,1.0,1.0
1,400,50390.73333333333,1.0,1.0
1,500,100019.5,1.0,1.0
1,600,176991.13333333333,1.0,1.0
1,700,285404.6666666667,1.0,1.0
1,800,440167.06666666665,1.0,1.0
1,900,643040.4333333333,1.0,1.0
1,1000,915350.3,1.0,1.0
2,100,284.2166666666667,1.8789655779041807,0.9394827889520904
2,200,2854.95,1.9866314062709798,0.9933157031354899
2,300,10289.366666666667,1.9865621790780774,0.9932810895390387
2,400,25359.05,1.9870907361803116,0.9935453680901558
2,500,50287.96666666667,1.9889350600110431,0.9944675300055216
2,600,88668.78333333333,1.9960929504126501,0.9980464752063251
2,700,144739.06666666665,1.9718564810422068,0.9859282405211034
2,800,221805.96666666667,1.9844690081225647,0.9922345040612823
2,900,329127.23333333334,1.9537746142145433,0.9768873071072717
2,1000,458192.85,1.9977402528214923,0.9988701264107461
3,100,196.1,2.7232704402515724,0.9077568134171908
3,200,1924.3666666666668,2.9473246609274044,0.9824415536424681
3,300,6910.111111111112,2.958051808139441,0.9860172693798136
3,400,16970.122222222224,2.9693795173347137,0.9897931724449046
3,500,33913.63333333333,2.9492416520789577,0.9830805506929859
3,600,59587.25555555555,2.9702850329852413,0.9900950109950805
3,700,98744.56666666667,2.890332868947726,0.963444289649242
3,800,152169.6222222222,2.8926080004579684,0.9642026668193228
3,900,217388.4222222222,2.958025210174231,0.9860084033914104
3,1000,310783.3,2.9453007931893382,0.9817669310631127
4,100,141.74166666666667,3.7676524193074252,0.9419131048268563
4,200,1446.25,3.92168251224431,0.9804206280610775
4,300,5277.333333333334,3.8732566953006566,0.9683141738251642
4,400,12863.041666666666,3.9174819330575645,0.9793704832643911
4,500,25749.316666666666,3.8843555071687987,0.9710888767921997
4,600,45100.433333333334,3.924377666733431,0.9810944166833577
4,700,75328.94166666667,3.788778394492688,0.947194598623172
4,800,114826.88333333333,3.833310230922985,0.9583275577307463
4,900,167865.65,3.830685034927237,0.9576712587318092
4,1000,238145.9,3.8436534074279676,0.9609133518569919
5,100,118.94000000000001,4.489938904769911,0.8979877809539822
5,200,1164.3933333333332,4.870977161211275,0.974195432242255
5,300,4231.24,4.830845488950442,0.9661690977900884
5,400,10593.693333333333,4.7566728380533325,0.9513345676106665
5,500,21766.68,4.59507375493185,0.91901475098637
5,600,38096.346666666665,4.645882054832205,0.929176410966441
5,700,61645.36,4.629783436525745,0.925956687305149
5,800,94875.28,4.6394283807822925,0.9278856761564584
5,900,137074.69333333333,4.691168133928344,0.9382336267856688
5,1000,194650.02666666667,4.70254392293259,0.9405087845865181
6,100,97.38888888888887,5.483513976041073,0.9139189960068456
6,200,986.4055555555556,5.7499000298502425,0.9583166716417071
6,300,3505.6777777777775,5.83067468329155,0.971779113881925
6,400,9261.011111111113,5.441169730686953,0.9068616217811588
6,500,18717.027777777777,5.3437704526330005,0.8906284087721668
6,600,32923.27222222222,5.375867020103477,0.8959778366839127
6,700,52348.35555555556,5.452027358601098,0.9086712264335164
6,800,81561.17777777778,5.396771830170835,0.8994619716951392
6,900,117766.18888888888,5.460314538496571,0.9100524230827619
6,1000,167805.40555555557,5.454832023852496,0.9091386706420826
7,100,92.01904761904764,5.803508590353962,0.8290726557648517
7,200,855.1190476190476,6.6326827230962,0.9475261032994571
7,300,3046.495238095238,6.709502253956146,0.9585003219937352
7,400,8246.847619047621,6.110302464780191,0.8729003521114559
7,500,16476.8,6.070323120994368,0.8671890172849098
7,600,29166.257142857143,6.068352633196156,0.8669075190280223
7,700,46628.13809523809,6.120867749077326,0.874409678439618
7,800,72059.6380952381,6.108371875042127,0.8726245535774467
7,900,104210.46190476192,6.170593830790318,0.8815134043986168
7,1000,147354.85714285716,6.211877353405384,0.8874110504864835
8,100,102.67083333333332,5.201412280345766,0.6501765350432207
8,200,846.8583333333333,6.697381498282869,0.8371726872853587
8,300,2928.333333333333,6.980239043824702,0.8725298804780878
8,400,7670.283333333333,6.569605207977975,0.8212006509972469
8,500,15353.645833333334,6.514381084840055,0.8142976356050069
8,600,26548.63333333333,6.666675874087681,0.8333344842609601
8,700,42774.5125,6.672306707567192,0.834038338445899
8,800,64250.62916666667,6.850782200511524,0.8563477750639406
8,900,92223.85833333334,6.9726038896478615,0.8715754862059827
8,1000,129003.775,7.095531119147483,0.8869413898934354
9,100,94.95925925925927,5.62381528140723,0.6248683646008034
9,200,779.4296296296296,7.276774089315074,0.8085304543683416
9,300,2624.188888888889,7.789251281877575,0.8654723646530639
9,400,6923.8,7.277901345118768,0.8086557050131965
9,500,13784.500000000002,7.255939642351916,0.8062155158168796
9,600,23903.67777777778,7.4043473551954575,0.8227052616883842
9,700,38233.48148148149,7.464783629628481,0.8294204032920534
